"Country","Gold","Silver","Bronze","Total",
"USA",2638,1641,1358,5637,
"Russia",1599,1170,1178,3947,
"Germany",1301,1195,1260,3756,
"UK",678,739,651,2068,
"France",501,610,666,1777,
"Italy",575,531,531,1637,
"Sweden",479,522,535,1536,
"Canada",463,438,451,1352,
"Australia",368,459,522,1349,
"Hungary",432,332,371,1135,
"Netherlands",287,340,413,1040,
"Norway",378,361,294,1033,
"China",351,349,293,993,
"Japan",247,309,357,913,
"Finland",198,270,432,900,
"Switzerland",175,248,268,691,
"Romania",161,200,292,653,
"Czech Republic",123,262,259,644,
"South Korea",221,232,185,638,
"Denmark",179,241,177,597,
"Poland",117,195,253,565,
"Serbia",157,222,160,539,
"Spain",110,243,136,489,
"Brazil",109,175,191,475,
"Belgium",98,197,173,468,
"Austria",108,186,156,450,
"Cuba",164,129,116,409,
"Bulgaria",54,144,144,342,
"Argentina",91,92,91,274,
"Greece",62,109,84,255,
"New Zealand",90,56,82,228,
"Ukraine",47,52,100,199,
"India",138,19,40,197,
"Jamaica",38,75,44,157,
"Croatia",58,54,37,149,
"Belarus",24,44,71,139,
"South Africa",32,47,52,131,
"Pakistan",42,45,34,121,
"Mexico",30,26,54,110,
"Kenya",34,41,31,106,
"Nigeria",23,30,46,99,
"Turkey",40,27,28,95,
"Kazakhstan",20,25,32,77,
"Iran",18,21,29,68,
"North Korea",16,16,35,67,
"Uruguay",31,2,30,63,
"Lithuania",6,7,48,61,
"Ethiopia",22,9,22,53,
"Estonia",13,12,25,50,
"Taiwan",3,28,18,49,
"Slovenia",8,13,27,48,
"Slovakia",15,19,13,47,
"Azerbaijan",7,12,25,44,
"Indonesia",11,17,13,41,
"Portugal",4,11,26,41,
"Bahamas",14,11,15,40,
"Trinidad",7,8,22,37,
"Ireland",9,13,13,35,
"Latvia",3,19,13,35,
"Uzbekistan",10,7,17,34,
"Georgia",8,6,18,32,
"Chile",3,9,20,32,
"Thailand",9,8,13,30,
"Colombia",5,9,14,28,
"Egypt",7,8,12,27,
"Mongolia",2,10,14,26,
"Morocco",6,5,12,23,
"Ghana",0,1,22,23,
"Cameroon",20,1,1,22,
"Zimbabwe",17,4,1,22,
"Algeria",5,4,8,17,
"Paraguay",0,17,0,17,
"Iceland",0,15,2,17,
"Armenia",2,5,9,16,
"Malaysia",0,11,5,16,
"Venezuela",2,3,10,15,
"Peru",1,14,0,15,
"Montenegro",0,14,0,14,
"Fiji",13,0,0,13,
"Tunisia",3,3,7,13,
"Philippines",0,3,7,10,
"Liechtenstein",2,2,5,9,
"Puerto Rico",1,2,6,9,
"Israel",1,1,7,9,
"Luxembourg",4,4,0,8,
"Moldova",0,3,5,8,
"Dominican Republic",3,2,2,7,
"Uganda",2,3,2,7,
"Haiti",1,1,5,7,
"Saudi Arabia",0,1,5,6,
"Syria",1,2,2,5,
"Individual Olympic Athletes",1,1,3,5,
"Qatar",0,1,4,5,
"Vietnam",1,3,0,4,
"Costa Rica",1,1,2,4,
"Tajikistan",1,1,2,4,
"Namibia",0,4,0,4,
"Lebanon",0,2,2,4,
"Ivory Coast",1,1,1,3,
"Bahrain",1,1,1,3,
"Panama",1,0,2,3,
"Kyrgyzstan",0,1,2,3,
"Grenada",1,1,0,2,
"Ecuador",1,1,0,2,
"Burundi",1,1,0,2,
"Suriname",1,0,1,2,
"Mozambique",1,0,1,2,
"United Arab Emirates",1,0,1,2,
"Sri Lanka",0,2,0,2,
"Tanzania",0,2,0,2,
"Niger",0,1,1,2,
"Zambia",0,1,1,2,
"Kuwait",0,0,2,2,
"Afghanistan",0,0,2,2,
"Kosovo",1,0,0,1,
"Nepal",1,0,0,1,
"Jordan",1,0,0,1,
"Curacao",0,1,0,1,
"Sudan",0,1,0,1,
"Botswana",0,1,0,1,
"Tonga",0,1,0,1,
"Senegal",0,1,0,1,
"Gabon",0,1,0,1,
"Virgin Islands, US",0,1,0,1,
"Cyprus",0,1,0,1,
"Guatemala",0,1,0,1,
"Macedonia",0,0,1,1,
"Bermuda",0,0,1,1,
"Djibouti",0,0,1,1,
"Guyana",0,0,1,1,
"Iraq",0,0,1,1,
"Barbados",0,0,1,1,
"Togo",0,0,1,1,
"Monaco",0,0,1,1,
"Mauritius",0,0,1,1,
"Eritrea",0,0,1,1,
"NA",0,0,0,0,
"Maldives",0,0,0,0,
"Madagascar",0,0,0,0,
"Seychelles",0,0,0,0,
"Palestine",0,0,0,0,
"Central African Republic",0,0,0,0,
"Guam",0,0,0,0,
"Liberia",0,0,0,0,
"Malta",0,0,0,0,
"Guinea",0,0,0,0,
"Somalia",0,0,0,0,
"Bangladesh",0,0,0,0,
"Sao Tome and Principe",0,0,0,0,
"Myanmar",0,0,0,0,
"Papua New Guinea",0,0,0,0,
"Saint Kitts",0,0,0,0,
"Palau",0,0,0,0,
"Libya",0,0,0,0,
"Oman",0,0,0,0,
"Virgin Islands, British",0,0,0,0,
"Timor-Leste",0,0,0,0,
"Democratic Republic of the Congo",0,0,0,0,
"Lesotho",0,0,0,0,
"Bhutan",0,0,0,0,
"Micronesia",0,0,0,0,
"Turkmenistan",0,0,0,0,
"Dominica",0,0,0,0,
"Antigua",0,0,0,0,
"Cape Verde",0,0,0,0,
"Swaziland",0,0,0,0,
"Marshall Islands",0,0,0,0,
"Yemen",0,0,0,0,
"Saint Lucia",0,0,0,0,
"Saint Vincent",0,0,0,0,
"Sierra Leone",0,0,0,0,
"Belize",0,0,0,0,
"Samoa",0,0,0,0,
"Comoros",0,0,0,0,
"Solomon Islands",0,0,0,0,
"Malawi",0,0,0,0,
"Gambia",0,0,0,0,
"Mali",0,0,0,0,
"Honduras",0,0,0,0,
"El Salvador",0,0,0,0,
"Cayman Islands",0,0,0,0,
"Laos",0,0,0,0,
"Chad",0,0,0,0,
"San Marino",0,0,0,0,
"Republic of Congo",0,0,0,0,
"Rwanda",0,0,0,0,
"Kiribati",0,0,0,0,
"Angola",0,0,0,0,
"Bosnia and Herzegovina",0,0,0,0,
"Equatorial Guinea",0,0,0,0,
"Mauritania",0,0,0,0,
"American Samoa",0,0,0,0,
"Vanuatu",0,0,0,0,
"Cook Islands",0,0,0,0,
"South Sudan",0,0,0,0,
"Benin",0,0,0,0,
"Guinea-Bissau",0,0,0,0,
"Cambodia",0,0,0,0,
"Burkina Faso",0,0,0,0,
"Nicaragua",0,0,0,0,
"Andorra",0,0,0,0,
"Aruba",0,0,0,0,
"Albania",0,0,0,0,
"Brunei",0,0,0,0,
"Boliva",0,0,0,0,
"Nauru",0,0,0,0,
