"Olympic Games",
"1896 Summer",
"1900 Summer",
"1904 Summer",
"1906 Summer",
"1908 Summer",
"1912 Summer",
"1920 Summer",
"1924 Summer",
"1924 Winter",
"1928 Summer",
"1928 Winter",
"1932 Summer",
"1932 Winter",
"1936 Summer",
"1936 Winter",
"1948 Summer",
"1948 Winter",
"1952 Summer",
"1952 Winter",
"1956 Summer",
"1956 Winter",
"1960 Summer",
"1960 Winter",
"1964 Summer",
"1964 Winter",
"1968 Summer",
"1968 Winter",
"1972 Summer",
"1972 Winter",
"1976 Summer",
"1976 Winter",
"1980 Summer",
"1980 Winter",
"1984 Summer",
"1984 Winter",
"1988 Summer",
"1988 Winter",
"1992 Summer",
"1992 Winter",
"1994 Winter",
"1996 Summer",
"1998 Winter",
"2000 Summer",
"2002 Winter",
"2004 Summer",
"2006 Winter",
"2008 Summer",
"2010 Winter",
"2012 Summer",
"2014 Winter",
"2016 Summer",
