"Olympic Games","Most Successful Country","Gold","Silver","Bronze","Total",
"1896 Summer","Greece",10,18,20,48,
"1900 Summer","France",52,101,82,235,
"1904 Summer","USA",128,141,125,394,
"1906 Summer","Greece",24,48,30,102,
"1908 Summer","UK",147,131,90,368,
"1912 Summer","Sweden",103,62,25,190,
"1920 Summer","USA",111,45,38,194,
"1924 Summer","USA",97,36,49,182,
"1924 Winter","UK",16,4,11,31,
"1928 Summer","USA",47,24,17,88,
"1928 Winter","Sweden",2,13,1,16,
"1932 Summer","USA",81,47,61,189,
"1932 Winter","USA",10,21,3,34,
"1936 Summer","Germany",93,70,61,224,
"1936 Winter","Norway",7,8,3,18,
"1948 Summer","USA",87,30,35,152,
"1948 Winter","Switzerland",4,5,19,28,
"1952 Summer","USA",83,23,28,134,
"1952 Winter","USA",4,25,1,30,
"1956 Summer","Russia",68,46,55,169,
"1956 Winter","Russia",26,5,6,37,
"1960 Summer","Russia",61,63,45,169,
"1960 Winter","Russia",7,7,28,42,
"1964 Summer","Russia",60,63,51,174,
"1964 Winter","Russia",30,8,9,47,
"1968 Summer","Russia",65,63,64,192,
"1968 Winter","Russia",26,6,5,37,
"1972 Summer","Germany",74,83,96,253,
"1972 Winter","Russia",36,6,3,45,
"1976 Summer","Russia",114,95,77,286,
"1976 Winter","Germany",14,13,37,64,
"1980 Summer","Russia",187,129,126,442,
"1980 Winter","Russia",18,29,7,54,
"1984 Summer","USA",186,116,50,352,
"1984 Winter","Russia",29,15,12,56,
"1988 Summer","Russia",134,67,99,300,
"1988 Winter","Russia",40,14,12,66,
"1992 Summer","USA",89,50,85,224,
"1992 Winter","Russia",35,10,14,59,
"1994 Winter","Germany",18,10,12,40,
"1996 Summer","USA",159,48,52,259,
"1998 Winter","Finland",2,7,49,58,
"2000 Summer","USA",130,61,51,242,
"2002 Winter","USA",11,58,15,84,
"2004 Summer","USA",117,75,71,263,
"2006 Winter","Canada",30,28,11,69,
"2008 Summer","USA",127,110,80,317,
"2010 Winter","USA",12,63,22,97,
"2012 Summer","USA",145,57,46,248,
"2014 Winter","Canada",59,22,5,86,
"2016 Summer","USA",139,54,71,264,
